#TYPE Selected.System.Xml.XmlElement
"AskRealtime","BidRealtime","Symbol","Time"
"15.29","14.50","PACQU","12.9.2013 21:13:43"
"1.59","1.58","ERB","12.9.2013 21:13:43"
"1.48","1.47","OCLR","12.9.2013 21:13:43"
"15.75","15.00","PACQ","12.9.2013 21:13:43"
"6.75","6.62","GALTW","12.9.2013 21:13:43"
"12.13","12.09","PETX","12.9.2013 21:13:43"
"3.50","3.45","MEIL","12.9.2013 21:13:43"
"2.46","2.44","CREG","12.9.2013 21:13:43"
"44.27","44.20","DSLV","12.9.2013 21:13:43"
"4.37","4.35","CNIT","12.9.2013 21:13:43"
"4.00","3.91","MARK","12.9.2013 21:13:43"
"24.87","24.80","EZCH","12.9.2013 21:13:43"
"5.38","4.80","TROVW","12.9.2013 21:13:43"
"55.97","55.93","NUGT","12.9.2013 21:13:43"
"75.23","75.13","USLV","12.9.2013 21:13:43"
"4.88","4.87","PLX","12.9.2013 21:13:43"
"2.15","2.12","ZA","12.9.2013 21:13:43"
